"stock_code","corp_code","company_name","induty_code"
"017010","00158839","제너비오믹스","27214"
"017040","00103662","광명전기","28123"
"017050","00136554","스타맥스","59111"
"017160","00103121","세븐코스프","1090"
"017170","00188946","훈영","591"
"017180","00121039","명문제약","212"
"017250","00145914","인터엠","265"
"017300","00152631","에이치비이에너지","26"
"017370","00142883","우신시스템","292"
"017390","00130684","서울도시가스","35200"
"017480","00128926","삼현철강","2419"
"017510","00133751","세명전기","2599"
"017550","00135111","수산세보틱스","29241"
"017650","00109781","대림제지","179"
"017670","00159023","SK텔레콤","61220"
"017680","00112819","데코앤에프","141"
"017800","00164724","현대엘리베이터","29162"
